incident_id,timestamp,attack_type,severity,source_ip,destination_ip,country,mitre_technique,status
INC00001,2024-04-22 20:26:00,DDoS,8,25.23.237.233,10.0.118.165,Canada,T1204,Investigating
INC00002,2024-01-13 16:04:00,DDoS,5,51.228.150.107,10.0.240.187,Brazil,T1081,Investigating
INC00003,2024-10-12 16:35:00,DDoS,7,196.21.157.240,10.0.70.34,Russia,T1055,Investigating
INC00004,2024-04-15 04:17:00,Phishing,3,234.212.135.17,10.0.89.230,India,T1566,Investigating
INC00005,2024-07-14 20:02:00,Brute Force,10,218.164.206.10,10.0.176.177,UK,T1081,Open
INC00006,2024-09-12 12:01:00,DDoS,10,100.86.139.48,10.0.24.28,Brazil,T1566,Open
INC00007,2024-10-05 12:16:00,Phishing,10,255.75.6.204,10.0.165.248,Brazil,T1204,Open
INC00008,2024-11-23 09:40:00,Ransomware,1,160.172.214.141,10.0.133.253,India,T1204,Investigating
INC00009,2024-03-05 11:09:00,Insider Threat,2,180.155.241.13,10.0.196.86,China,T1110,Investigating
INC00010,2024-02-12 12:13:00,Insider Threat,5,112.14.76.196,10.0.64.7,Germany,T1059,Open
INC00011,2024-10-27 14:09:00,Ransomware,8,199.33.225.117,10.0.91.89,UK,T1566,Open
INC00012,2024-12-11 19:46:00,Phishing,6,188.79.200.255,10.0.189.172,Russia,T1055,Resolved
INC00013,2024-12-03 04:13:00,Malware,4,217.100.122.162,10.0.36.85,France,T1499,Open
INC00014,2024-07-27 16:09:00,Phishing,1,246.27.101.90,10.0.25.191,Germany,T1081,Resolved
INC00015,2024-06-03 02:32:00,DDoS,2,85.95.30.101,10.0.71.116,UK,T1110,Resolved
INC00016,2024-04-06 09:39:00,Ransomware,10,83.35.92.6,10.0.12.238,Russia,T1566,Open
INC00017,2024-03-02 07:57:00,Phishing,5,24.89.206.252,10.0.147.194,UK,T1204,Investigating
INC00018,2024-01-24 11:46:00,Insider Threat,8,38.195.200.118,10.0.185.168,UK,T1059,Investigating
INC00019,2024-09-13 22:21:00,Malware,3,254.55.234.18,10.0.133.16,Japan,T1059,Open
INC00020,2024-01-02 23:17:00,Malware,3,148.27.17.143,10.0.99.113,Germany,T1055,Resolved
INC00021,2024-09-15 11:26:00,Malware,2,111.199.231.215,10.0.14.106,USA,T1081,Resolved
INC00022,2024-03-18 08:00:00,Phishing,8,252.125.82.250,10.0.124.41,Canada,T1055,Open
INC00023,2024-10-13 21:44:00,Malware,9,170.5.184.112,10.0.157.45,Russia,T1204,Resolved
INC00024,2024-11-11 02:58:00,Ransomware,1,136.202.247.112,10.0.102.7,Canada,T1499,Resolved
INC00025,2024-11-08 01:47:00,Phishing,6,59.9.149.147,10.0.12.68,France,T1204,Investigating
INC00026,2024-08-15 02:20:00,Insider Threat,3,77.132.136.123,10.0.105.82,Russia,T1110,Open
INC00027,2024-05-03 22:10:00,Ransomware,3,126.203.138.124,10.0.93.239,USA,T1081,Investigating
INC00028,2024-11-21 03:36:00,Insider Threat,5,11.138.196.235,10.0.53.40,Germany,T1499,Resolved
INC00029,2024-05-09 04:28:00,Brute Force,7,247.236.147.218,10.0.199.214,France,T1059,Resolved
INC00030,2024-12-27 17:13:00,Brute Force,9,168.87.157.121,10.0.11.56,India,T1499,Investigating
